Component,Origin,Licence,Copyright
@aashutoshrathi/word-wrap,npm,MIT,Jon Schlinkert (https://github.com/aashutoshrathi/word-wrap)
@ampproject/remapping,npm,Apache-2.0,Justin Ridgewell (https://www.npmjs.com/package/@ampproject/remapping)
@babel/code-frame,npm,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-code-frame)
@babel/compat-data,npm,MIT,The Babel Team (https://babel.dev/team)
@babel/core,npm,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-core)
@babel/generator,npm,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-generator)
@babel/helper-annotate-as-pure,npm,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-helper-annotate-as-pure)
@babel/helper-builder-binary-assignment-operator-visitor,npm,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-helper-builder-binary-assignment-operator-visitor)
@babel/helper-compilation-targets,npm,MIT,The Babel Team (https://babel.dev/team)
@babel/helper-create-class-features-plugin,virtual,MIT,The Babel Team (https://babel.dev/team)
@babel/helper-create-regexp-features-plugin,virtual,MIT,The Babel Team (https://babel.dev/team)
@babel/helper-define-polyfill-provider,virtual,MIT,(https://www.npmjs.com/package/@babel/helper-define-polyfill-provider)
@babel/helper-environment-visitor,npm,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-helper-environment-visitor)
@babel/helper-function-name,npm,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-helper-function-name)
@babel/helper-hoist-variables,npm,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-helper-hoist-variables)
@babel/helper-member-expression-to-functions,npm,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-helper-member-expression-to-functions)
@babel/helper-module-imports,npm,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-helper-module-imports)
@babel/helper-module-transforms,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-helper-module-transforms)
@babel/helper-optimise-call-expression,npm,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-helper-optimise-call-expression)
@babel/helper-plugin-utils,npm,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-helper-plugin-utils)
@babel/helper-remap-async-to-generator,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-helper-remap-async-to-generator)
@babel/helper-replace-supers,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-helper-replace-supers)
@babel/helper-simple-access,npm,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-helper-simple-access)
@babel/helper-skip-transparent-expression-wrappers,npm,MIT,The Babel Team (https://babel.dev/team)
@babel/helper-split-export-declaration,npm,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-helper-split-export-declaration)
@babel/helper-string-parser,npm,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-helper-string-parser)
@babel/helper-validator-identifier,npm,MIT,The Babel Team (https://babel.dev/team)
@babel/helper-validator-option,npm,MIT,The Babel Team (https://babel.dev/team)
